cores,cpu,gpu,mem
4,729600,1300500000,2133000000
4,729600,1300500000,3199000000
4,729600,1300500000,665600000
8,729600,1300500000,2133000000
8,729600,1300500000,3199000000
8,729600,1300500000,665600000
12,729600,1300500000,2133000000
12,729600,1300500000,3199000000
12,729600,1300500000,665600000
4,729600,1134750000,2133000000
4,729600,1134750000,3199000000
4,729600,1134750000,665600000
8,729600,1134750000,2133000000
8,729600,1134750000,3199000000
8,729600,1134750000,665600000
12,729600,1134750000,2133000000
12,729600,1134750000,3199000000
12,729600,1134750000,665600000
4,729600,930750000,2133000000
4,729600,930750000,3199000000
4,729600,930750000,665600000
8,729600,930750000,2133000000
8,729600,930750000,3199000000
8,729600,930750000,665600000
12,729600,930750000,2133000000
12,729600,930750000,3199000000
12,729600,930750000,665600000
4,729600,726750000,2133000000
4,729600,726750000,3199000000
4,729600,726750000,665600000
8,729600,726750000,2133000000
8,729600,726750000,3199000000
8,729600,726750000,665600000
12,729600,726750000,2133000000
12,729600,726750000,3199000000
12,729600,726750000,665600000
4,729600,522750000,2133000000
4,729600,522750000,3199000000
4,729600,522750000,665600000
8,729600,522750000,2133000000
8,729600,522750000,3199000000
8,729600,522750000,665600000
12,729600,522750000,2133000000
12,729600,522750000,3199000000
12,729600,522750000,665600000
4,729600,318750000,2133000000
4,729600,318750000,3199000000
4,729600,318750000,665600000
8,729600,318750000,2133000000
8,729600,318750000,3199000000
8,729600,318750000,665600000
12,729600,318750000,2133000000
12,729600,318750000,3199000000
12,729600,318750000,665600000
4,729600,114750000,2133000000
4,729600,114750000,3199000000
4,729600,114750000,665600000
8,729600,114750000,2133000000
8,729600,114750000,3199000000
8,729600,114750000,665600000
12,729600,114750000,2133000000
12,729600,114750000,3199000000
12,729600,114750000,665600000
